spec_id,file,pl_name,spec_type,authors,instrument,facility,bibcode,n_points,n_usable,wave_min,wave_max,obs_date_min,obs_date_max
0,56-12-36-06__Kepler_20_c_3.101_3665_1.tbl,Kepler-20 c,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,1,1,4.5,4.5,,
1,78-51-78-87__55_Cnc_e_3.10924_3673_1.tbl,55 Cnc e,Transmission,de Mooij et al. 2014,ALFOSC,Nordic Optical Telescope,2014ApJ...797L..21D,8,8,0.4735,0.656,,
2,18-43-09-97__55_Cnc_e_3.10924_3750_1.tbl,55 Cnc e,Transmission,Tsiaras et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016ApJ...820...99T,25,25,1.132,1.6376,,
3,52-88-66-83__CoRoT_1_b_3.10951_2058_1.tbl,CoRoT-1 b,Eclipse,Gillon et al. 2009,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2009A&A...506..359G,1,1,2.095,2.095,,
4,30-21-22-41__CoRoT_1_b_3.10951_3421_1.tbl,CoRoT-1 b,Transmission,Schlawin et al. 2014,SpeX and MORIS,Infrared Telescope Facility,2014ApJ...783....5S,10,10,0.86,2.312,,
5,66-17-12-99__CoRoT_2_b_3.10954_3283_1.tbl,CoRoT-2 b,Eclipse,Gillon et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010A&A...511A...3G,2,2,4.5,8.0,,
6,28-54-10-44__CoRoT_2_b_3.10954_4094_1.tbl,CoRoT-2 b,Eclipse,Deming et al. 2011,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2011ApJ...726...95D,3,3,3.6,8.0,,
7,26-12-47-25__GJ_1214_b_3.10969_3420_2.tbl,GJ 1214 b,Transmission,Gillon et al. 2014,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,2014A&A...563A..21G,1,1,0.838,0.838,,
8,59-51-90-62__GJ_1214_b_3.10969_3608_1.tbl,GJ 1214 b,Transmission,Berta et al. 2012,WFC3,Hubble Space Telescope satellite,2012ApJ...747...35B,24,24,1.123,1.656,,
9,99-48-40-82__GJ_1214_b_3.10969_3663_1.tbl,GJ 1214 b,Transmission,de Mooij et al. 2012,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2012A&A...538A..46D,4,4,0.46,0.9,,
10,09-67-50-85__GJ_1214_b_3.10969_3698_1.tbl,GJ 1214 b,Transmission,de Mooij et al. 2013,WFC,Isaac Newton Group's Isaac Newton Telescope,2013ApJ...771..109D,1,1,0.4962,0.4962,,
11,08-04-20-19__GJ_1214_b_3.10969_3698_3.tbl,GJ 1214 b,Transmission,de Mooij et al. 2013,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2013ApJ...771..109D,1,1,0.4996,0.4996,,
12,33-68-66-96__GJ_1214_b_3.10969_5145_1.tbl,GJ 1214 b,Eclipse,Kempton et al. 2023,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2023Natur.620...67K,14,14,5.25,11.75,,
13,32-89-47-63__GJ_436_b_3.10974_4090_1.tbl,GJ 436 b,Eclipse,Stevenson et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010Natur.464.1161S,5,5,3.6,24.0,,
14,29-51-81-37__HAT_P_12_b_3.10993_3675_2.tbl,HAT-P-12 b,Transmission,Mallonn et al. 2015,Multiple Instruments,Multiple Observatories,2015A&A...583A.138M,2,2,0.4754,0.6204,,
15,39-56-47-84__HAT_P_12_b_3.10993_3675_4.tbl,HAT-P-12 b,Transmission,Mallonn et al. 2015,AFOSC,Asiago Observatory's Copernico Telescope,2015A&A...583A.138M,1,1,0.6476,0.6476,,
16,29-92-34-25__HAT_P_12_b_3.10993_3717_2.tbl,HAT-P-12 b,Transmission,Sing et al. 2016,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2016Natur.529...59S,17,17,0.38,0.965,,
17,80-98-57-57__HAT_P_12_b_3.10993_4708_1.tbl,HAT-P-12 b,Transmission,Yan et al. 2020,MODS2,Large Binocular Telescope Observatory,2020A&A...642A..98Y,13,13,0.395,0.7367,,
18,12-47-61-16__HAT_P_14_b_3.10996_3790_2.tbl,HAT-P-14 b,Transmission,Fukui et al. 2016,RISE,Liverpool 2 meter telesope at Observatorio del Roque de los Muchachos,2016ApJ...819...27F,1,1,0.616,0.616,,
19,19-19-99-05__HAT_P_18_b_3.11001_5041_1.tbl,HAT-P-18 b,Transmission,Fu et al. 2022,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2022ApJ...940L..35F,1021,1021,0.6078,2.8266,,
20,63-32-53-52__HAT_P_1_b_3.11003_3664_1.tbl,HAT-P-1 b,Transmission,Wilson et al. 2015,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2015MNRAS.450..192W,6,6,0.6792,0.8844,,
21,16-66-83-08__HAT_P_1_b_3.11003_3717_1.tbl,HAT-P-1 b,Transmission,Sing et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016Natur.529...59S,2,2,3.56,4.5,,
22,82-26-70-42__HAT_P_1_b_3.11003_3717_3.tbl,HAT-P-1 b,Transmission,Sing et al. 2016,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2016Natur.529...59S,23,23,0.3625,0.9643,,
23,88-81-29-87__HAT_P_23_b_3.11007_3531_1.tbl,HAT-P-23 b,Transmission,Ciceri et al. 2015,BUSCA,Calar Alto Observatory's 2.2 meter Telescope,2015A&A...577A..54C,4,4,0.3585,0.9222,,
24,01-81-89-43__HAT_P_26_b_3.11010_4163_1.tbl,HAT-P-26 b,Transmission,Wakeford et al. 2017,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2017Sci...356..628W,7,7,0.56,0.957,,
25,27-28-23-68__HAT_P_32_b_3.11017_3465_1.tbl,HAT-P-32 b,Eclipse,Zhao et al. 2014,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2014ApJ...796..115Z,2,2,3.6,4.5,,
26,37-83-36-55__HAT_P_32_b_3.11017_3791_1.tbl,HAT-P-32 b,Transmission,Mallonn &amp; Strassmeier 2016,MODS1,Large Binocular Telescope Observatory,2016A&A...590A.100M,2,2,0.4475,0.7825,,
27,89-54-96-76__HAT_P_32_b_3.11017_3937_2.tbl,HAT-P-32 b,Transmission,Mallonn et al. 2016,KeplerCam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,2016MNRAS.463..604M,1,1,0.9222,0.9222,,
28,62-15-92-44__HAT_P_32_b_3.11017_4196_1.tbl,HAT-P-32 b,Eclipse,Nikolov et al. 2018,Wide Field Camera 3,Hubble Space Telescope satellite,2018MNRAS.474.1705N,14,14,1.142,1.625,,
29,32-02-92-72__HAT_P_3_b_3.11023_3991_4.tbl,HAT-P-3 b,Transmission,Ricci et al. 2017,SBIG STL-1301E,University of Monterrey (UDEM) 0.36m telescope at Observatorio de la Universidad de Monterrey,2017PASP..129f4401R,1,1,0.7886,0.7886,,
30,23-57-16-69__HAT_P_6_b_3.11026_3155_1.tbl,HAT-P-6 b,Eclipse,Todorov et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012ApJ...746..111T,2,2,3.6,4.5,,
31,78-32-46-03__HD_149026_b_3.11121_4105_1.tbl,HD 149026 b,Eclipse,Stevenson et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012ApJ...754..136S,5,5,3.6,16.0,,
32,10-36-22-01__HD_189733_b_3.11185_3195_1.tbl,HD 189733 b,Eclipse,Agol et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010ApJ...721.1861A,1,1,8.0,8.0,,
33,10-17-63-62__HD_189733_b_3.11185_3590_2.tbl,HD 189733 b,Transmission,Pont et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013MNRAS.432.2917P,4,4,1.105,1.607,,
34,99-83-01-43__HD_189733_b_3.11185_3590_5.tbl,HD 189733 b,Transmission,Pont et al. 2013,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2013MNRAS.432.2917P,7,7,3.6,7.85,,
35,72-35-74-98__HD_189733_b_3.11185_3592_1.tbl,HD 189733 b,Transmission,Gibson et al. 2012,Wide Field Camera 3,Hubble Space Telescope satellite,2012MNRAS.422..753G,4,4,1.105,1.607,,
36,56-86-07-03__HD_189733_b_3.11185_3596_1.tbl,HD 189733 b,Transmission,Wyttenbach et al. 2015,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,2015A&A...577A..62W,1,1,0.5893,0.5893,,
37,36-42-52-56__HD_189733_b_3.11185_3717_3.tbl,HD 189733 b,Transmission,Sing et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016Natur.529...59S,29,29,1.1279,1.635,,
38,43-61-26-55__HD_189733_b_3.11185_3856_1.tbl,HD 189733 b,Transmission,Borsa et al. 2016,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,2016A&A...590A..84B,7,7,0.41,0.675,,
39,04-68-93-72__HD_189733_b_3.11185_4072_1.tbl,HD 189733 b,Eclipse,Deming et al. 2006,Infrared Spectrograph (IRS),Spitzer Space Telescope satellite,2006ApJ...644..560D,1,1,16.0,16.0,,
40,80-37-79-52__HD_189733_b_3.11185_4076_2.tbl,HD 189733 b,Eclipse,Charbonneau et al. 2008,Infrared Spectrograph (IRS),Spitzer Space Telescope satellite,2008ApJ...686.1341C,1,1,16.0,16.0,,
41,36-20-91-63__HD_189733_b_3.11185_4077_1.tbl,HD 189733 b,Eclipse,Knutson et al. 2009,Multiband Imaging Photometer (MIPS),Spitzer Space Telescope satellite,2009ApJ...690..822K,1,1,24.0,24.0,,
42,03-21-68-79__HD_209458_b_3.11218_3627_1.tbl,HD 209458 b,Eclipse,Evans et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015MNRAS.451..680E,1,1,5.8,5.8,,
43,81-32-55-76__HD_209458_b_3.11218_3627_4.tbl,HD 209458 b,Eclipse,Evans et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015MNRAS.451..680E,1,1,3.6,3.6,,
44,65-02-42-98__HD_209458_b_3.11218_3649_1.tbl,HD 209458 b,Transmission,Deming et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013ApJ...774...95D,28,28,1.119,1.628,,
45,77-83-37-95__HD_209458_b_3.11218_3717_2.tbl,HD 209458 b,Transmission,Sing et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016Natur.529...59S,29,29,1.1217,1.6391,,
46,98-74-27-28__HD_209458_b_3.11218_4115_1.tbl,HD 209458 b,Eclipse,Diamond-Lowe et al. 2014,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2014ApJ...796...66D,4,4,3.6,8.0,,
47,35-34-28-92__Qatar_1_b_3.11424_4004_1.tbl,Qatar-1 b,Transmission,von Essen et al. 2017,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory,2017A&A...603A..20V,12,12,0.53,0.704,,
48,90-60-12-20__TrES_1_b_3.11430_4071_1.tbl,TrES-1 b,Eclipse,Charbonneau et al. 2005,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2005ApJ...626..523C,2,2,4.5,8.0,,
