pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
VHS J125601.92-125723.9 b,Direct Imaging,823,824,Miles et al. 2023,Miles et al. 2023,Near Infrared Spectrograph (NIRSpec) - G140H,Near Infrared Spectrograph (NIRSpec) - G235H,False,unknown,True,581.0,581.0,-9.67274337881074e-18,2.868168048241842e-19,18795.50098317337,580.0,0.0,32.40603617788512,1.561590440367852e-16,4.4706566958429504e-18,0.0,30.35476963930784,False,,within_paper_other
HR 8799 e,Direct Imaging,1562,1596,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,2022.0,2022.0,1.4863058195920221e-19,1.026512171968315e-19,9315.065278947506,2021.0,0.0,4.609136704080903,3.3563443599970867e-19,3.7161776530297583e-19,0.0,4.61101463409029,False,,cross_paper
VHS J125601.92-125723.9 b,Direct Imaging,824,825,Miles et al. 2023,Miles et al. 2023,Near Infrared Spectrograph (NIRSpec) - G235H,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,451.0,451.0,7.831526862218131e-18,1.2198071861318197e-19,30482.272858536773,450.0,0.0,67.73838413008171,6.742305147431488e-17,1.4187952512762557e-18,0.0,62.85967729760012,False,,within_paper_other
HR 8799 e,Direct Imaging,1563,1597,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,1928.0,1928.0,-5.133994610898448e-20,6.793070600669584e-20,5270.331926934791,1927.0,7.608283346186431e-308,2.734993215845766,-3.4695120016586635e-19,2.3575276868437462e-19,9.145130446330527e-308,2.735288734590552,False,,cross_paper
VHS J125601.92-125723.9 b,Direct Imaging,822,825,Miles et al. 2023,Miles et al. 2023,Mid-Infrared Instrument (MIRI) - MRS,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,369.0,369.0,5.895494280672989e-18,4.936115053872098e-19,1245.402183647569,368.0,9.661956207374697e-96,3.3842450642596984,2.132264153000702e-17,4.649595445178469e-18,8.688341689137334e-93,3.3361623514280025,False,,within_paper_other
TOI-5205 b,Transmission,1600,1601,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.0220954037761801,0.0017116811694097,1080.2827675266556,468.0,2.2474254304827347e-50,2.308296511809093,0.0118464861470451,0.001734289458114,7.198459234316681e-45,2.2133270087713384,False,True,derived
HR 8799 d,Direct Imaging,1561,1595,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,1942.0,1942.0,-1.4650230490410914e-20,4.814600396083005e-20,3007.5238518498963,1941.0,2.2160387863603403e-49,1.54947133016481,4.953226831787858e-20,1.602162415903683e-19,1.8085069029264456e-49,1.5502207591020625,False,,cross_paper
WASP-39 b,Transmission,77,837,Feinstein et al. 2023,Carter et al. 2024,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec),False,unknown,True,49.0,0.0,0.0025189565606603,0.0008353092788363,356.25304576548524,48.0,1.1337852939003844e-48,7.421938453447609,0.0055580939170217,0.0016032916417029,7.717697886095612e-47,7.324153145111147,False,True,cross_paper
TOI-5205 b,Transmission,1601,1602,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0047912411354687,0.0020477997807189,924.288554086311,468.0,3.1842442469741624e-32,1.974975542919468,-0.011486399403464,0.0021076911601705,3.30824616499709e-29,1.915607558627972,False,True,same_data_diff_pipe
TOI-5205 b,Transmission,1601,1604,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0357013948141016,0.0021175977163057,839.6864795344993,468.0,1.607886625260221e-23,1.7942018793472208,-0.0122234403396064,0.002148505581752,1.4401680656638987e-20,1.728733667901724,False,True,epoch_diff_pipeline
WASP-12 b,Transmission,53,250,Stevenson et al. 2014,Kreidberg et al. 2015,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,12.0,1.0,0.0439283916577943,0.0028498990566011,106.31508389635393,11.0,9.949075902623264e-18,9.665007626941264,0.1062103857598118,0.0128031693699795,4.640410214920901e-05,3.7497568131777657,False,True,cross_paper
TOI-5205 b,Transmission,1601,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0256724317257455,0.0024065654501766,761.2046095075749,468.0,2.382474642490337e-16,1.6265055758708866,-0.001187809258712,0.0024088615946283,1.9499544045724308e-16,1.6294677988409343,False,True,epoch_same_pipeline
WASP-39 b,Transmission,828,837,Carter et al. 2024,Carter et al. 2024,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec),False,unknown,True,38.0,0.0,0.0053694421742778,0.0010085263792122,153.33626018861813,37.0,4.1588650222057982e-16,4.144223248341031,0.0124247296939119,0.002204391114455,3.2665397878770524e-11,3.376882460208721,False,True,within_paper_other
TOI-260 b,Transmission,1760,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,106.0,106.0,-0.0018306595453794,0.000400805012341,266.2078872485979,105.0,5.638709552672701e-16,2.5353132118914083,0.0082596565805739,0.0007178917545219,0.0259691440865785,1.2868544571835396,False,True,epoch_same_pipeline
TOI-5205 b,Transmission,1601,1606,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0281930003529537,0.0024552465264054,749.3277126037176,468.0,2.3735462622069216e-15,1.6011275910335847,-0.0108428031256382,0.0025308301562368,5.890164141031422e-14,1.565251811973204,False,True,epoch_diff_pipeline
TOI-5205 b,Transmission,1599,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0061630413323605,0.0021412124420485,737.9506609306986,468.0,2.0346388933155133e-14,1.576817651561322,-7.875459624811338e-05,0.0021395826902148,1.612365805844429e-14,1.5801912335611357,False,True,derived
WASP-18 b,Eclipse,61,258,Coulombe et al. 2023,Sheppard et al. 2017,Near Infrared Imager and Slitless Spectrograph (NIRISS),Wide Field Camera 3,False,unknown,True,29.0,0.0,-0.0079071870113131,0.0007885494396635,123.68062718893516,28.0,5.439886649195053e-14,4.417165256747684,-0.0468483054756292,0.0053297048423836,0.0114723887479892,1.719106214148863,False,True,cross_paper
