pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
TOI-5205 b,Transmission,1601,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0256724317257455,0.0024065654501766,761.2046095075749,468.0,2.382474642490337e-16,1.6265055758708866,-0.001187809258712,0.0024088615946283,1.9499544045724308e-16,1.6294677988409343,False,True,epoch_same_pipeline
TOI-260 b,Transmission,1760,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,106.0,106.0,-0.0018306595453794,0.000400805012341,266.2078872485979,105.0,5.638709552672701e-16,2.5353132118914083,0.0082596565805739,0.0007178917545219,0.0259691440865785,1.2868544571835396,False,True,epoch_same_pipeline
TOI-5205 b,Transmission,1603,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.0098694345416085,0.002471226051612,710.8512399091783,468.0,2.7245462433808167e-12,1.5189129057888424,0.0011905197204301,0.0024482165874323,2.2916011660173395e-12,1.5216590391650826,False,True,epoch_same_pipeline
TOI-776 b,Transmission,950,951,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,106.0,106.0,-0.00287054937762,0.00045507673659,210.8442308618162,105.0,4.296952549640129e-09,2.008040293922059,0.0060107655641826,0.0008213692387592,0.0005800061462356,1.5124169777296632,False,True,epoch_same_pipeline
TOI-776 b,Transmission,952,953,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,0.0,-0.0026660032196372,0.0004626360922189,180.8242158692641,104.0,4.563701075338067e-06,1.7386943833583088,0.005542721816038,0.0008419157628317,0.0131314503452295,1.3347788574314858,False,True,epoch_same_pipeline
TOI-260 b,Transmission,1761,1763,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,106.0,106.0,-0.0025187322322149,0.0004333189755404,171.44391424500083,105.0,4.57367538559844e-05,1.632799183285722,0.0059456720964954,0.0007903882253791,0.219493530109194,1.1043880005665596,False,True,epoch_same_pipeline
TOI-776 c,Transmission,957,958,Teske et al. 2025,Teske et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,106.0,0.0,-0.0029505456820231,0.0004184051169275,167.8751233702715,105.0,9.488012492306304e-05,1.5988106987644903,0.0040824431664849,0.0007544366848111,0.0132156576792424,1.3326301003426384,False,True,epoch_same_pipeline
GJ 1132 b,Transmission,1084,1086,Bennett et al. 2025,Bennett et al. 2025,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395M,False,unknown,True,54.0,0.0,-0.0004757201764289,0.0009828523978607,100.250983905827,53.0,9.533423428598308e-05,1.8915279982231512,0.0036505625210833,0.0017309550760392,0.0002078237400431,1.8423683820746224,False,True,epoch_same_pipeline
GJ 1132 b,Transmission,1088,1090,Bennett et al. 2025,Bennett et al. 2025,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395M,False,unknown,True,62.0,1.0,0.0004750161854795,0.0010208041525897,94.83598564428956,61.0,0.0035913019325017,1.5546882892506486,0.0031552402571056,0.0017038288969997,0.0055716742542296,1.5234437829048624,False,False,epoch_same_pipeline
L 98-59 c,Transmission,941,942,Scarsdale et al. 2024,Scarsdale et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,108.0,0.0,-0.0012959683566319,0.0004994996584757,142.31062789264587,107.0,0.0127272973895763,1.3300058681555689,0.0039165612260209,0.0009000840318691,0.1191928636472736,1.1639298952414974,False,False,epoch_same_pipeline
