pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
TOI-5205 b,Transmission,1601,1602,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0047912411354687,0.0020477997807189,924.288554086311,468.0,3.1842442469741624e-32,1.974975542919468,-0.011486399403464,0.0021076911601705,3.30824616499709e-29,1.915607558627972,False,True,same_data_diff_pipe
TOI-5205 b,Transmission,1603,1604,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.00013754144711,0.0021903219631896,677.739426871367,468.0,6.901567775481963e-10,1.4481611685285618,-0.0099165633538662,0.0021926154835889,1.3552695065862714e-08,1.407461506819425,False,True,same_data_diff_pipe
GJ 341 b,Transmission,1001,1005,Kirk et al. 2024,Kirk et al. 2024,Near Infrared Camera (NIRCam),Near Infrared Camera (NIRCam),True,unknown,True,55.0,1.0,0.0019044203572809,0.0004771763491045,29.325311734208327,54.0,0.9975449318006064,0.5430613284112653,0.0036922870118463,0.001617098294782,0.9997816355032612,0.4549424059539189,False,False,same_data_diff_pipe
GJ 341 b,Transmission,1000,1004,Kirk et al. 2024,Kirk et al. 2024,Near Infrared Camera (NIRCam),Near Infrared Camera (NIRCam),True,unknown,True,55.0,1.0,0.0006021161512338,0.0004930208216862,20.529349870769007,54.0,0.9999898795758349,0.3801731457549816,0.0013730778914938,0.0016571004502422,0.9999906460281666,0.3743918387183169,True,False,same_data_diff_pipe
GJ 341 b,Transmission,1002,1006,Kirk et al. 2024,Kirk et al. 2024,Near Infrared Camera (NIRCam),Near Infrared Camera (NIRCam),True,unknown,True,55.0,1.0,0.0030107621208771,0.0004746889699725,15.30617324000283,54.0,0.9999999563913294,0.283447652592645,-0.0002712622381196,0.0015967998931624,0.999999920120394,0.2882512165722674,True,False,same_data_diff_pipe
GJ 1132 b,Transmission,1084,1088,Bennett et al. 2025,Bennett et al. 2025,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,54.0,0.0,-0.0023216750401426,0.0009611576989603,14.674172656580456,53.0,0.9999999633982026,0.2768711821996312,-0.0001669215191478,0.0016912530999339,0.9999999305403244,0.282008299404787,True,False,same_data_diff_pipe
GJ 1132 b,Transmission,555,559,May et al. 2023,May et al. 2023,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,59.0,0.0,0.0003971406035084,0.0009479895340653,16.956968887707575,58.0,0.9999999727901532,0.2923615325466823,0.0020287475306323,0.0016321312980847,0.9999999930140656,0.2703843369147593,True,False,same_data_diff_pipe
TOI-776 c,Transmission,954,957,Teske et al. 2025,Teske et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,104.0,0.0,-0.0006431270996652,0.0004442557364804,42.18359772425319,103.0,0.999999984008778,0.4095494924684775,-0.0028999461653365,0.0008122856909862,0.9999999999998676,0.2886072508587826,True,False,same_data_diff_pipe
GJ 1132 b,Transmission,555,557,May et al. 2023,May et al. 2023,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,58.0,0.0,0.002426436103226,0.0009233576578846,14.217756450075957,57.0,0.9999999987586587,0.249434323685543,-0.0013104308820782,0.0015894882892418,0.9999999991189424,0.2417511113438646,True,False,same_data_diff_pipe
TOI-260 b,Transmission,1760,1761,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0004020303615174,0.0004215891421199,38.474402488259855,103.0,0.999999999155261,0.3735378882355326,0.0022048540441226,0.0007702970872406,0.999999999999629,0.2968764533837079,True,False,same_data_diff_pipe
GJ 1132 b,Transmission,1080,1084,Bennett et al. 2025,Bennett et al. 2025,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,54.0,0.0,-0.000420773799661,0.0009704278225872,11.296894378629757,53.0,0.9999999998210994,0.2131489505401841,-0.0013910686858446,0.001718680008772,0.9999999998868708,0.2046499064434094,True,False,same_data_diff_pipe
HD 15337 c,Transmission,1768,1769,Wallack et al. 2026,Wallack et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0004895425803498,0.0005395312478447,34.88795870122949,103.0,0.999999999968754,0.3387180456430048,-0.0012510819686582,0.0009819119796589,0.9999999999895228,0.3261230926087119,True,False,same_data_diff_pipe
TOI-260 b,Transmission,1762,1763,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0009714459376942,0.0004191532967141,32.17962628320933,103.0,0.9999999999981826,0.3124235561476634,-0.0001966788743102,0.000769986294944,0.9999999999969535,0.3148468720822729,True,False,same_data_diff_pipe
GJ 1132 b,Transmission,1080,1088,Bennett et al. 2025,Bennett et al. 2025,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,62.0,0.0,-0.0025842289160487,0.0009635634688062,11.902115578647916,61.0,0.9999999999990812,0.1951166488302937,-0.0015487336634132,0.0016350085124383,0.9999999999996928,0.1834144272253125,True,False,same_data_diff_pipe
