spec_id,pl_name,spec_type,instrument,authors,bibcode,wave,value,sigma,z_local,n_other_specs,n_confirming,n_contradicting
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.65628,1.103,0.0095,97.05263157894737,0,0,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.48613,0.783,0.0095,68.31578947368422,0,0,0
913,WASP-17 b,Transmission,Near Infrared Imager and Slitless Spectrograph (NIRISS),Louie et al. 2025,2025AJ....169...86L,2.0582,1.29799,0.00861,-25.464576074332168,1,1,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.49576,0.121,0.0125,-23.439999999999998,0,0,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.5169,0.475,0.014499999999999999,20.896551724137932,0,0,0
1601,TOI-5205 b,Transmission,Near Infrared Spectrograph (NIRSpec) - PRISM,Ca&ntilde;as et al. 2026,2026AJ....171..260C,1.59334,5.9284,0.016599999999999997,-13.373493975903642,7,3,2
1599,TOI-5205 b,Transmission,Near Infrared Spectrograph (NIRSpec) - PRISM,Ca&ntilde;as et al. 2026,2026AJ....171..260C,1.10667,6.1102,0.0096,-10.61458333333339,7,7,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.48242,0.134,0.014499999999999999,-9.655172413793105,0,0,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.53166,0.317,0.014499999999999999,9.379310344827587,0,0,0
699,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,5.25,0.49015,0.00397,-9.088161209068012,4,4,0
704,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,5.25,0.47379,0.0037400000000000003,-8.639037433155082,4,4,0
707,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,5.25,0.48444,0.00434,-8.552995391705078,4,4,0
1009,TRAPPIST-1 b,Transmission,Near Infrared Spectrograph (NIRSpec) - PRISM,Rathcke et al. 2025,2025ApJ...979L..19R,1.58096,0.53617,0.021335,-8.507616592453711,1,0,0
1023,V1298 Tau b,Transmission,Near Infrared Spectrograph (NIRSpec),Barat et al. 2025,2025AJ....170..165B,5.1204,0.38528,0.01002,-8.484031936127742,0,0,0
697,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,5.25,0.48265,0.00468,-8.450854700854695,4,4,0
837,WASP-39 b,Transmission,Near Infrared Spectrograph (NIRSpec),Carter et al. 2024,2024NatAs...8.1008C,1.89437,2.16717,0.00292,8.191780821917789,3,1,1
394,HAT-P-23 b,Transmission,DLR-MKIII camera,Ciceri et al. 2015,2015A&A...577A..54C,0.6469,1.49328,0.025175,8.176564051638533,0,0,0
702,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,5.25,0.48622,0.004295,-8.079161816065207,4,4,0
704,WASP-43 b,Eclipse,Mid-Infrared Instrument (MIRI),Bell et al. 2024,2024NatAs...8..879B,6.25,0.53676,0.0033299999999999996,7.6426426426426355,4,4,0
1023,V1298 Tau b,Transmission,Near Infrared Spectrograph (NIRSpec),Barat et al. 2025,2025AJ....170..165B,5.12695,0.40152,0.00909,-7.565456545654564,0,0,0
900,HD 189733 b,Eclipse,Mid-Infrared Instrument (MIRI) - LRS,Inglis et al. 2024,2024ApJ...973L..41I,6.625,0.2667,0.0019,-7.368421052631586,1,1,0
125,KELT-9 b,Transmission,Potsdam Echelle Polarimetric & Spectroscopic Instrument (PEPSI),Cauley et al. 2019,2019AJ....157...69C,0.53629,0.154,0.0155,-7.354838709677421,0,0,0
1600,TOI-5205 b,Transmission,Near Infrared Spectrograph (NIRSpec) - PRISM,Ca&ntilde;as et al. 2026,2026AJ....171..260C,1.11367,6.1439,0.0099,-7.2020202020201936,7,6,1
