target,planet,visit_a,visit_b,n,offset_ppm,chi2_red,p_value,slope_ppm_um,slope_sigma,chi2_red_slope,p_slope,significant
L-98-59,L 98-59 b,jw03942002001,jw03942004001,40,-16.29462548581196,4.599972599434125,6.707370354860807e-20,77.0175653829864,4.635621151985302,4.1555249450841405,1.4693826197645268e-16,True
L-98-59,L 98-59 b,jw03942001001,jw03942004001,39,38.3275183523928,4.354326842679096,7.698770402136032e-18,61.475516433674954,3.5716597997973714,4.127234224224784,5.305901749440503e-16,True
L-98-59,L 98-59 b,jw03942003001,jw03942004001,40,28.513379049112046,3.630113377187979,1.4708798400231881e-13,35.63745716146947,2.1303574275103223,3.6062104984574423,4.079527628649228e-13,True
TOI-776,TOI-776 b,jw02512006001,jw02512005001,39,-43.05852669123988,3.245690041839448,6.007348580785323e-11,97.89753075888844,6.045618854286992,2.345586871853745,7.045862938300892e-06,True
L-98-59,L 98-59 b,jw03942001001,jw03942002001,39,57.23891281163439,3.091269349297113,4.789875988119115e-10,-21.54907467773554,1.2579380416608914,3.132049382611693,4.6169516829828605e-10,True
TOI-776,TOI-776 c,jw02512003001,jw02512004001,39,-47.02506487548086,2.7063495050966306,6.9688291854252e-08,22.120097854873713,1.4422105315486025,2.7232786480097904,8.180731232384572e-08,True
L-98-59,L 98-59 b,jw03942002001,jw03942003001,39,-46.37768911311282,2.486804669600528,1.0297578463638583e-06,49.975599557894945,2.9288720376163853,2.3221698927591614,9.172197577749488e-06,True
L-98-59,L 98-59 b,jw03942001001,jw03942003001,39,9.846872976881338,2.433301703767348,1.9478462601791592e-06,26.587881567239176,1.5486385577189123,2.4342481989379867,2.559105314215018e-06,True
K2-18,K2-18 b,jw02722001001,jw02372005001,39,12.267118861531273,2.048883401338172,0.00014667040229153256,-45.78962164611781,1.614038458945225,2.0338499757809796,0.00020437252498331453,True
K2-18,K2-18 b,jw02372007001,jw02372004001,39,-8.014808397993981,2.0309147097037576,0.00017726244021765231,-94.0212820815942,3.7121681204988617,1.7133666706458037,0.004426092096217975,True
K2-18,K2-18 b,jw02372004001,jw02372005001,39,-8.027208594795542,1.9712879198608009,0.00032935650353144267,18.11256405557918,0.7122632372373606,2.0108546496105566,0.000258513194922919,True
K2-18,K2-18 b,jw02722001001,jw02372007001,39,30.828086585416855,1.8736478594962822,0.0008797583043078142,30.64840324658459,1.0838928814817543,1.8925349968197813,0.0008379805268323864,True
TOI-1685,TOI-1685 b,jw03263001001,jw04195003001,39,-19.147664723227095,1.7335454124042224,0.0033391298926101903,-49.01662799883629,1.4230510166358061,1.7256662560922225,0.003967636710962822,True
TOI-1685,TOI-1685 b,jw04195003001,jw04195002001,39,-32.94498670818885,1.7199533984794617,0.0037808808422526313,108.64504984042418,3.059055842684466,1.5135244998258792,0.023326860237803473,True
K2-18,K2-18 b,jw02722001001,jw02372004001,39,20.159469282808345,1.612576915130446,0.009743983987551174,-68.7508083369107,2.4093367022659473,1.4992707954073297,0.02603039126743229,False
TOI-1685,TOI-1685 b,jw04195003001,jw04195104001,38,-40.446945683788535,1.5038669517326488,0.0251295203120334,60.77208713175962,1.6256757809048392,1.472229318596874,0.03363290828459306,False
LHS-1140,LHS 1140 b,jw07073025001,jw07073026001,20,39.55235835446228,1.7178669681838752,0.026445033162920698,-8.667106404037003,0.3244529104221658,1.807455705800678,0.018991048400599297,False
TOI-1685,TOI-1685 b,jw03263001001,jw04195001001,40,-12.16614423314712,1.400869884268701,0.049425970998101414,15.712144254688281,0.43883680557072025,1.4326670459093642,0.04082951024166074,False
TOI-1685,TOI-1685 b,jw04195003001,jw04195001001,40,1.6109782797694443,1.369094308097699,0.062104836380083316,42.8975752857661,1.1678593684606875,1.369231118718654,0.06426804020451753,False
K2-18,K2-18 b,jw02372007001,jw02372005001,39,-17.320730259507354,1.2977074689922004,0.10341765008367347,-74.80120562158689,2.973939332575213,1.0937450991315059,0.3197950877283967,False
TOI-1685,TOI-1685 b,jw03263001001,jw04195002001,39,-54.466323370009064,1.2879883888132344,0.10998551936863067,45.42997746854862,1.3122451784720974,1.2762586855805311,0.12108085415059487,False
LHS-1140,LHS 1140 b,jw07073024001,jw07073026001,20,-16.124898901696994,1.3077966752339782,0.1656019542764031,-9.980367407567497,0.37372194600609093,1.372692707584389,0.13315944218370673,False
TOI-1685,TOI-1685 b,jw03263001001,jw04195104001,39,-59.270945749523385,1.2034801056058249,0.18183167892769764,-8.013998446160791,0.22620606905992488,1.2346236439822107,0.15488032545252195,False
LHS-1140,LHS 1140 c,jw07073033001,jw07073032001,21,-21.142358559097424,1.2454845478460934,0.20490796415706972,-21.65975285032297,0.7111572579036741,1.2844182269185682,0.18111096330609464,False
TOI-1685,TOI-1685 b,jw04195001001,jw04195002001,39,-39.97271424055076,1.1069721606627088,0.29925978489902155,52.06227137062584,1.4074587110444914,1.0833514076185924,0.33502475569635054,False
TOI-1685,TOI-1685 b,jw04195001001,jw04195104001,39,-42.68245620363914,0.9772076319196549,0.509335535149719,-2.7445103623193776,0.07263027782627887,1.0034760771808044,0.4631471120642625,False
TOI-1685,TOI-1685 b,jw04195002001,jw04195104001,38,-6.065474953845502,0.9593642559655501,0.5395679531314483,-51.991136921447676,1.3821931798666336,0.9329449856737644,0.5839444719134658,False
LHS-1140,LHS 1140 b,jw07073024001,jw07073025001,20,-55.68722736204285,0.754362282857658,0.7639515382306152,-0.03593151276535333,0.0013364708196798997,0.7962711993411805,0.7071475485980443,False
