target,visit,planet,n_bins,t0_bjd,file
K2-18,jw02372004001,K2-18 b,41,60656.50319017837,K2-18__jw02372004001__K2-18_b.csv
K2-18,jw02372005001,K2-18 b,41,60821.20343484612,K2-18__jw02372005001__K2-18_b.csv
K2-18,jw02372007001,K2-18 b,41,60458.86288610873,K2-18__jw02372007001__K2-18_b.csv
K2-18,jw02722001001,K2-18 b,41,59964.8325890375,K2-18__jw02722001001__K2-18_b.csv
L-98-59,jw03942001001,L 98-59 b,41,60339.31515298269,L-98-59__jw03942001001__L_98-59_b.csv
L-98-59,jw03942002001,L 98-59 b,41,60343.82141825474,L-98-59__jw03942002001__L_98-59_b.csv
L-98-59,jw03942003001,L 98-59 b,41,60346.07459204092,L-98-59__jw03942003001__L_98-59_b.csv
L-98-59,jw03942004001,L 98-59 b,41,60359.593271693986,L-98-59__jw03942004001__L_98-59_b.csv
LHS-1140,jw07073024001,LHS 1140 b,22,60873.03188103944,LHS-1140__jw07073024001__LHS_1140_b.csv
LHS-1140,jw07073025001,LHS 1140 b,22,61021.455243605225,LHS-1140__jw07073025001__LHS_1140_b.csv
LHS-1140,jw07073026001,LHS 1140 b,22,61219.353114448444,LHS-1140__jw07073026001__LHS_1140_b.csv
LHS-1140,jw07073032001,LHS 1140 c,22,61256.14762141856,LHS-1140__jw07073032001__LHS_1140_c.csv
LHS-1140,jw07073033001,LHS 1140 c,22,60991.69168968201,LHS-1140__jw07073033001__LHS_1140_c.csv
TOI-1685,jw03263001001,TOI-1685 b,41,60354.98446399355,TOI-1685__jw03263001001__TOI-1685_b.csv
TOI-1685,jw04195001001,TOI-1685 b,41,60369.34772513655,TOI-1685__jw04195001001__TOI-1685_b.csv
TOI-1685,jw04195002001,TOI-1685 b,40,60371.35523252743,TOI-1685__jw04195002001__TOI-1685_b.csv
TOI-1685,jw04195003001,TOI-1685 b,41,60365.3365147037,TOI-1685__jw04195003001__TOI-1685_b.csv
TOI-1685,jw04195104001,TOI-1685 b,40,60554.03367172701,TOI-1685__jw04195104001__TOI-1685_b.csv
TOI-776,jw02512003001,TOI-776 c,40,60075.83963438885,TOI-776__jw02512003001__TOI-776_c.csv
TOI-776,jw02512004001,TOI-776 c,41,60091.50558913555,TOI-776__jw02512004001__TOI-776_c.csv
TOI-776,jw02512005001,TOI-776 b,41,60104.61963042737,TOI-776__jw02512005001__TOI-776_b.csv
TOI-776,jw02512006001,TOI-776 b,40,60088.12634630682,TOI-776__jw02512006001__TOI-776_b.csv
