spectrum,code,model,n_points,lnZ,lnZ_err,best_params,max_lnL,ncall,runtime_s
pub_eureka,platon,flat,218.0,-1116.7903975662807,0.132123227922598,[619.9963],-1111.7038032237476,16677.0,1.8
pub_eureka,platon,so2,218.0,-1112.7958756154487,0.1236825215933141,"[0.8415, 552.6689, 2.8468]",-1107.8979868063625,18761.0,882.9
pub_eureka,platon,co2,218.0,-1117.7046128398076,0.1479049852464602,"[0.8486, 301.7552, 2.8508]",-1110.7170006421604,20231.0,874.6
pub_firefly,platon,flat,80.0,-365.8525599385598,0.1231313106816388,[639.3424],-361.3822620625237,16335.0,1.4
pub_firefly,platon,so2,80.0,-365.88635275828,0.1350936704077114,"[0.8631, 303.884, 5.2186]",-360.1248852250717,18831.0,906.6
pub_firefly,platon,co2,80.0,-370.10255587564194,0.1596248167422305,"[0.8564, 301.2501, 1.0116]",-361.9040504127239,22749.0,989.4
own_avg,platon,flat,41.0,-233.08310678611784,0.1255225518356126,[648.1034],-228.4651575872737,16464.0,1.6
own_avg,platon,so2,41.0,-228.26813261966024,0.1256338783746803,"[0.8614, 522.2814, 6.6691]",-223.23863524084632,17460.0,887.3
own_avg,platon,co2,41.0,-234.53258719024453,0.1485662909759613,"[0.8686, 300.9088, 3.3141]",-227.47107470187635,20519.0,882.1
own_avg_infl,platon,flat,41.0,-217.24292650468848,0.1331298609630934,[649.7095],-212.08601377458112,16739.0,1.6
own_avg_infl,platon,so2,41.0,-214.134018723226,0.1150976495490121,"[0.8618, 546.4467, 3.5365]",-209.9962605284466,17607.0,778.4
own_avg_infl,platon,co2,41.0,-215.41523591670244,0.1294784041863536,"[0.8661, 426.8261, 3.3216]",-210.08786454644712,18416.0,834.4
own_v1,platon,flat,41.0,-266.14381496040386,0.133085039811885,[621.6025],-261.0074762080026,17126.0,1.7
own_v1,platon,so2,41.0,-264.8123887125611,0.1121125967804008,"[0.8516, 300.6042, 6.4634]",-260.6906924195875,17239.0,894.1
own_v1,platon,co2,41.0,-267.5934318871809,0.1362288966018086,"[0.8453, 303.6458, 1.01]",-261.28804063909246,20556.0,965.4
own_v2,platon,flat,41.0,-226.86507753954783,0.1218612518322357,[678.1059],-222.48195321869463,15263.0,1.6
own_v2,platon,so2,41.0,-228.3661324256648,0.1257617438561651,"[0.8856, 306.1505, 1.0071]",-222.8512114344851,20174.0,955.0
own_v2,platon,co2,41.0,-228.9497860954516,0.1308540197179386,"[0.8807, 307.5081, 1.0371]",-222.9595479959112,19764.0,1000.8
own_v3,platon,flat,41.0,-241.97558908232085,0.1242965230639607,[632.5072],-237.4576733774283,15732.0,1.6
own_v3,platon,so2,41.0,-240.9858360592175,0.110472434556789,"[0.8561, 380.7328, 3.6884]",-237.07426432548692,16719.0,1025.8
own_v3,platon,co2,41.0,-240.24073003476047,0.1163839196295561,"[0.8356, 647.5308, 1.1314]",-235.82934405123,18128.0,1078.7
own_v4,platon,flat,41.0,-304.467891972299,0.1277225217958732,[660.5319],-299.6984503921112,16659.0,1.6
own_v4,platon,so2,41.0,-292.3798187546413,0.1268724378793753,"[0.8518, 999.6921, 3.4602]",-286.9747233085,17945.0,1153.2
own_v4,platon,co2,41.0,-301.83356847044905,0.124282791176871,"[0.8711, 468.3004, 3.3222]",-296.69092170639783,18349.0,1097.2
synth_flat,platon,flat,41.0,-190.96201144852637,0.1219430646985895,[642.9972],-186.60058622426504,15618.0,1.4
synth_flat,platon,so2,41.0,-192.86990271390226,0.1425028544567925,"[0.8623, 315.701, 1.0757]",-186.20043336457823,21012.0,1231.5
synth_flat,platon,co2,41.0,-195.0919018224653,0.1579474403952799,"[0.8582, 304.5202, 1.0026]",-186.9846178122565,22958.0,1286.7
