spectrum,code,model,n_points,lnZ,lnZ_err,best_params,max_lnL,ncall,runtime_s
pub_eureka,taurex,flat,218.0,-1116.7903975662807,0.132123227922598,[619.9963],-1111.7038032237476,16677.0,1.6
pub_eureka,taurex,so2,218.0,-1112.5153799939906,0.1234035758517993,"[0.8491, 521.0703, 3.4228]",-1107.742880837861,19159.0,39280.7
pub_firefly,taurex,flat,80.0,-365.8525599385598,0.1231313106816388,[639.3424],-361.3822620625237,16335.0,3.4
pub_firefly,taurex,so2,80.0,-365.33198235659705,0.1314104976677281,"[0.8583, 310.0632, 6.984]",-359.8185492220676,19401.0,1517.2
own_avg,taurex,flat,41.0,-233.08310678611784,0.1255225518356126,[648.1034],-228.4651575872737,16464.0,1.7
own_avg,taurex,so2,41.0,-228.78947936716804,0.1241427404142133,"[0.8657, 537.1534, 3.8493]",-223.93002350186563,18347.0,996.0
own_avg_infl,taurex,flat,41.0,-217.24292650468848,0.1331298609630934,[649.7095],-212.08601377458112,16739.0,2.0
own_avg_infl,taurex,so2,41.0,-214.39861453464792,0.1139594608340633,"[0.8577, 500.693, 6.6154]",-210.36198604782896,18186.0,1328.8
own_v1,taurex,flat,41.0,-266.14381496040386,0.133085039811885,[621.6025],-261.0074762080026,17126.0,1.7
own_v1,taurex,so2,41.0,-264.5637369075262,0.1104512194434819,"[0.8496, 420.7409, 4.2778]",-260.7094471141102,17245.0,1411.4
own_v2,taurex,flat,41.0,-226.86507753954783,0.1218612518322357,[678.1059],-222.48195321869463,15263.0,1.7
pub_eureka,taurex,co2,218.0,-1117.4373380773202,0.1465918026661247,"[0.8562, 406.2317, 1.2523]",-1110.889050144663,19979.0,1200.4
pub_firefly,taurex,co2,80.0,-368.68776446084553,0.1543149678324779,"[0.8696, 305.3758, 1.0458]",-361.2689569811808,22405.0,1189.9
own_avg,taurex,co2,41.0,-234.082350584571,0.1435035919582255,"[0.8754, 302.8466, 2.5252]",-227.759555820515,19691.0,1288.6
own_avg_infl,taurex,co2,41.0,-215.6286799299978,0.1269932320949832,"[0.8749, 716.0227, 1.0953]",-210.3920942860995,18794.0,1242.2
own_v1,taurex,co2,41.0,-267.3018444528606,0.1322016377476475,"[0.8577, 302.3492, 1.0553]",-261.2537385155391,20822.0,1375.1
own_v2,taurex,so2,41.0,-228.1111535336767,0.1229308379658638,"[0.8957, 300.8857, 1.0566]",-222.7458673932844,19874.0,1284.1
own_v2,taurex,co2,41.0,-228.19849775017573,0.1246846643455662,"[0.8964, 302.3601, 1.0113]",-222.6059584987377,20609.0,1168.7
own_v3,taurex,flat,41.0,-241.97558908232085,0.1242965230639607,[632.5072],-237.4576733774283,15732.0,1.6
own_v3,taurex,so2,41.0,-240.8228381643547,0.1065349059775946,"[0.8623, 802.0915, 1.0355]",-237.1299982414777,17385.0,1095.3
own_v3,taurex,co2,41.0,-240.4128072998151,0.1148715983062993,"[0.8629, 734.753, 1.0347]",-236.06115381417413,17809.0,1330.8
own_v4,taurex,flat,41.0,-304.467891972299,0.1277225217958732,[660.5319],-299.6984503921112,16659.0,1.6
own_v4,taurex,so2,41.0,-294.81020197999135,0.1253617213698851,"[0.8655, 999.8885, 3.3226]",-289.510640243125,18856.0,941.4
own_v4,taurex,co2,41.0,-302.3026584006365,0.1197229858338691,"[0.8828, 402.2581, 3.137]",-297.5299826463355,27008.0,1500.0
synth_flat,taurex,flat,41.0,-190.96201144852637,0.1219430646985895,[642.9972],-186.60058622426504,15618.0,1.4
synth_flat,taurex,so2,41.0,-192.82632989606773,0.141785331665454,"[0.872, 303.1922, 1.0851]",-186.2391301922408,20798.0,1377.4
synth_flat,taurex,co2,41.0,-195.05327509939912,0.15211330729122824,"[0.8718, 300.1401, 1.0267]",-187.41335116855743,22902.0,1238.0
