spectrum,code,model,lnB_vs_flat,sigma,best_params
own_avg,platon,so2,4.81,3.37,"[0.8614, 522.2814, 6.6691]"
own_avg,platon,co2,-1.45,0.0,"[0.8686, 300.9088, 3.3141]"
own_avg,taurex,so2,4.29,3.2,"[0.8657, 537.1534, 3.8493]"
own_avg,taurex,co2,-1.0,0.0,"[0.8754, 302.8466, 2.5252]"
own_avg_infl,platon,so2,3.11,2.77,"[0.8618, 546.4467, 3.5365]"
own_avg_infl,platon,co2,1.83,2.2,"[0.8661, 426.8261, 3.3216]"
own_avg_infl,taurex,so2,2.84,2.67,"[0.8577, 500.693, 6.6154]"
own_avg_infl,taurex,co2,1.61,2.09,"[0.8749, 716.0227, 1.0953]"
own_v1,platon,so2,1.33,1.93,"[0.8516, 300.6042, 6.4634]"
own_v1,platon,co2,-1.45,0.0,"[0.8453, 303.6458, 1.01]"
own_v1,taurex,so2,1.58,2.07,"[0.8496, 420.7409, 4.2778]"
own_v1,taurex,co2,-1.16,0.0,"[0.8577, 302.3492, 1.0553]"
own_v2,platon,so2,-1.5,0.0,"[0.8856, 306.1505, 1.0071]"
own_v2,platon,co2,-2.08,0.0,"[0.8807, 307.5081, 1.0371]"
own_v2,taurex,so2,-1.25,0.0,"[0.8957, 300.8857, 1.0566]"
own_v2,taurex,co2,-1.33,0.0,"[0.8964, 302.3601, 1.0113]"
own_v3,platon,so2,0.99,1.71,"[0.8561, 380.7328, 3.6884]"
own_v3,platon,co2,1.73,2.15,"[0.8356, 647.5308, 1.1314]"
own_v3,taurex,so2,1.15,1.82,"[0.8623, 802.0915, 1.0355]"
own_v3,taurex,co2,1.56,2.06,"[0.8629, 734.753, 1.0347]"
own_v4,platon,so2,12.09,5.15,"[0.8518, 999.6921, 3.4602]"
own_v4,platon,co2,2.63,2.58,"[0.8711, 468.3004, 3.3222]"
own_v4,taurex,so2,9.66,4.64,"[0.8655, 999.8885, 3.3226]"
own_v4,taurex,co2,2.17,2.37,"[0.8828, 402.2581, 3.137]"
pub_eureka,platon,so2,3.99,3.1,"[0.8415, 552.6689, 2.8468]"
pub_eureka,platon,co2,-0.91,0.0,"[0.8486, 301.7552, 2.8508]"
pub_eureka,taurex,so2,4.28,3.19,"[0.8491, 521.0703, 3.4228]"
pub_eureka,taurex,co2,-0.65,0.0,"[0.8562, 406.2317, 1.2523]"
pub_firefly,platon,so2,-0.03,0.0,"[0.8631, 303.884, 5.2186]"
pub_firefly,platon,co2,-4.25,0.0,"[0.8564, 301.2501, 1.0116]"
pub_firefly,taurex,so2,0.52,1.33,"[0.8583, 310.0632, 6.984]"
pub_firefly,taurex,co2,-2.84,0.0,"[0.8696, 305.3758, 1.0458]"
synth_flat,platon,so2,-1.91,0.0,"[0.8623, 315.701, 1.0757]"
synth_flat,platon,co2,-4.13,0.0,"[0.8582, 304.5202, 1.0026]"
synth_flat,taurex,so2,-1.86,0.0,"[0.872, 303.1922, 1.0851]"
synth_flat,taurex,co2,-4.09,0.0,"[0.8718, 300.1401, 1.0267]"
