target,planet,visit,det,n_int,e,w_deg,eccen_assumed,partial_flag,spot_flag,seg_step_flag,seg_step_z,t0_bmjd,depth_ppm,k,aRs,b,q1,q2,ramp_model,t14_h,sigma_ppm,chi2_red_sym,bic_linear,bic_quad,bic_quad_exp,box_depth_ppm,spot_z,dd_ppm,dd_err_boot_ppm,beta,dd_err_ppm,dd_sigma,p_value,dbic_asym,k_in,k_eg,mb_n,mb_z,mb_p_chi2,mb_p_sign,dd_ld_sens_ppm,dd_mcmc_ppm,dd_mcmc_err_ppm,sigma_cal_ppm,sigma_cal_resid_ppm,ul95_abs_dd_ppm,dd_err_cal_ppm,dd_sigma_cal,p_value_cal,significant
GJ-1132,GJ 1132 b,jw01981021001,nrs1,814,0.0118,-95.8,0,0,0,0,0.0,60008.62122312768,2336.9297640353097,0.048341801414876,15.039158682980874,0.5218942448575492,0.0236019840720609,0.6219816123534093,quad,0.7621127593447454,374.0685706966033,1.0787039189367988,983.8054835229945,923.05104159108,927.8275124445012,2570.0983003317247,2.989092480918837,-12.705860538788238,102.4179288251091,1.5814353966027392,161.96733789076754,-0.0784470542286569,0.9374724449645888,6.655776367842918,0.0484016612062048,0.048270228370927,100.0,-0.1123212642363267,0.6010562032999541,0.3682016173266958,-0.06080531614848,,,88.92127568568614,92.72596090941953,158.98135904174194,88.92127568568614,-0.142888869292656,0.8863779493838271,False
GJ-1132,GJ 1132 b,jw01981021001,nrs2,814,0.0118,-95.8,0,0,0,0,0.0,60008.62098183109,2366.561585050864,0.0486473183747147,15.407821739141047,0.4735827300310395,0.0283829923970526,1.0,quad_exp,0.7653964792261831,503.0563799221828,1.101931777561148,1039.6433797135062,976.6922791002922,952.9727528191884,2439.350893445269,3.189643211298683,158.12116456575012,81.67768069229344,1.1652076739732926,95.17146033500056,1.661434678097495,0.0966261779217273,2.073228110901482,0.0477898736041643,0.0494165274343286,101.0,1.831748123849929,0.3292961265622683,0.0460440669293427,-0.278876320948342,,,59.629883403269965,78.96669658987759,256.2123227641292,59.629883403269965,2.6517101081079613,0.008008526835294795,False
GJ-1132,GJ 1132 b,jw01981022001,nrs1,814,0.0118,-95.8,0,0,0,0,0.0,60000.47646871692,2516.101926757661,0.0501607608271411,15.072119454402868,0.4954066309575858,0.1071842084002232,4.457839475883538e-36,quad_exp,0.7744343352969736,363.0300803750845,1.1027256532962892,1034.661206749104,986.9801942372756,953.611028910242,2647.671030069243,2.886456702598416,97.34866736868042,32.458086277786265,1.0,32.458086277786265,2.999211553495196,0.0027067928849834,3.4304548262673507,0.0496552943108246,0.0506260498208511,102.0,1.6697898097444863,0.3470714643148356,0.3729436680836299,0.0071912574662462,101.72408793393062,58.827130772004566,45.54131243869679,38.87604419485066,172.26412633033664,45.54131243869679,2.1375902923246133,0.0325500103221654,False
GJ-1132,GJ 1132 b,jw01981022001,nrs2,814,0.0118,-95.8,0,0,0,0,0.0,60000.47670331929,2204.197902486282,0.0469488860622515,15.703476364058512,0.4628610906749908,0.0005441070391407,0.6268654503678411,quad_exp,0.753718757070601,544.7367207058222,1.0238151366547112,979.1655763723468,902.7350497187996,890.1669735304132,2518.4475792526805,2.7578070886494968,-7.489239310463653,127.95621962620837,1.3889585357819,177.7258834562056,-0.0421392718090447,0.9663876735844754,6.630382911116158,0.0469675186004252,0.0468877229578365,99.0,0.0721192090778935,0.8369520454047462,0.687885343579692,2.079593824874573,,,123.77064654844848,115.07183466933871,211.0919528826614,123.77064654844848,-0.06050901016770631,0.95175023992462,False
K2-18,K2-18 b,jw02372004001,nrs1,2089,0.2,-5.7,0,0,0,0,1.578393039771162,60656.708448176905,2717.7272852473184,0.052131826030241,83.34273173058922,0.5839425928048324,0.0450285878971832,0.6718328832119503,quad_exp,2.641759797523264,505.42658664138565,1.0963375806160685,2729.81185709408,2398.2986896912807,2355.730237716372,3102.807042888456,3.103846503834909,-63.30108549930337,134.04895658423888,1.9507291971079288,261.4932134507279,-0.242075443044838,0.8087217059913779,5.515539136111784,0.0524468069126719,0.0518398154880569,309.0,-1.3236330440370163,0.7834154819262578,0.1110424432362852,0.0985050998534617,,,155.27116780970684,113.26603542066368,318.7221565462711,155.27116780970684,-0.4076808746417252,0.6835079803813453,False
K2-18,K2-18 b,jw02372004001,nrs2,2089,0.2,-5.7,0,0,0,0,0.4785426106151064,60656.70853310555,2453.8946547183123,0.0495368010141784,80.42138386525953,0.6258491276985386,0.0082786258245653,0.5432900175972276,quad_exp,2.635483080754057,860.9463891213364,0.991008967331891,2489.9305994991228,2161.215809745909,2136.752050698567,2975.017845844308,3.1435992398266843,64.83254446033871,159.05837709900135,1.5593104675105462,248.0213923557125,0.2613990020963829,0.7937848265046836,6.859817187728368,0.0492808110349976,0.0499342655971577,307.0,0.8672029784910362,0.999999920917525,0.4934849114784423,-0.4484880135212137,,,174.6446918995022,149.28693195317334,352.1230626350198,174.6446918995022,0.37122539342705047,0.7104696610558328,False
K2-18,K2-18 b,jw02372005001,nrs1,2089,0.2,-5.7,0,0,0,0,1.2975194227526925,60821.40865152558,2643.6441789388405,0.0514163804534979,83.4093502134976,0.5744766058956876,0.1720197391404568,0.1233652591921471,quad_exp,2.6558989050099626,525.3603909888395,1.0135021306216594,2494.3845453803774,2200.6408524493727,2183.515337177995,3035.0636468093885,3.0462817693484228,-83.96591135794709,115.17257118850488,1.9038703037826537,219.2736380960881,-0.3829275241976526,0.701773502635157,4.071870008589031,0.05177860157168,0.0509613350429601,310.0,-1.5370583391143997,0.9417969183044956,0.7764790615850122,0.1194953980336066,,,91.34997761407838,91.24797023632463,234.236624533106,91.34997761407838,-0.9191672899217733,0.3580080773770121,False
K2-18,K2-18 b,jw02372005001,nrs2,2089,0.2,-5.7,0,0,0,0,1.4715824039580296,60821.40887827439,2540.634017672052,0.0504047023369055,83.32714327119096,0.5958091699166664,0.095940587186248,0.2025792018609444,quad_exp,2.6116701020509936,829.2010493810271,1.0563463668113555,2517.3718024622253,2284.183283709619,2272.588504216374,3047.8090866226103,2.839208964941576,-210.8627941937377,214.71388775978343,2.129667031412144,457.2690879483383,-0.4611350291353189,0.6447017314485168,-0.7812302982388246,0.0514720143752548,0.0493812258824414,305.0,-2.6424131321754123,0.9571044229860431,0.0293982516312577,0.8524906004217883,,,166.8128740596616,184.62670241250217,485.269972021881,166.8128740596616,-1.264067868756469,0.20620566814275443,False
K2-18,K2-18 b,jw02372007001,nrs1,2089,0.2,-5.7,0,0,0,0,0.7308852257716282,60459.06947988585,2705.8645420501784,0.0520179251993981,82.54486113210568,0.5991986945085858,0.0758090898614851,0.4386888478678185,quad_exp,2.6352633591159247,502.9927720997525,1.0746308187630431,2588.3249246333307,2324.4196991078,2310.6018798239324,3068.15772688418,2.869569544394522,17.7893758597919,147.55529713885744,2.314945390566265,341.58245496523364,0.0520793020871124,0.9584655051233686,7.548810304248036,0.0519424970895791,0.0521134568011059,308.0,0.336413060274878,0.867220251088983,1.0,-0.0065673795104395,,,126.84254736409603,134.26960433648696,226.44536627372992,126.84254736409603,0.14024770260036065,0.8884642830966489,False
K2-18,K2-18 b,jw02372007001,nrs2,2089,0.2,-5.7,0,0,0,0,0.8692299926740915,60459.06977340621,2574.815590031776,0.050742640747519,86.5146493613013,0.5502075681954126,0.0019236346508913,0.930458942235148,quad_exp,2.6029337318614125,822.3722048617728,1.0402574287114392,2522.104057311086,2266.443796796194,2239.139601906648,3080.41007064197,2.927573592360369,-2.508767646262986,185.79010745357635,1.7092279232686236,317.5576395267307,-0.0079001961659681,0.9936966210208312,7.629173819524567,0.0507520610194512,0.0507273390793942,304.0,0.065947910493899,0.9863745060012687,0.2758102571842294,0.0239704069362676,,,169.3096452211447,169.81269454363505,281.02313403504604,169.3096452211447,-0.014817629810671126,0.9881776745704941,False
LHS-1140,LHS 1140 b,jw07073024001,nrs1,2496,0.043,90.0,0,0,0,0,0.1114758422509495,60873.15492129483,4963.850079266289,0.0704545958704348,91.61137598769004,0.1515099047369914,0.0381230580147378,0.218313682883488,quad_exp,2.0939272387186065,637.0755192031237,1.0559300520328712,3846.948476930562,2846.4364020632806,2703.2665566486107,5869.35573277092,2.8954513430064384,-9.73997214148703,236.34020674783665,3.5864107174279547,847.6130504395799,-0.0114910596721414,0.990831662672125,7.758409219941768,0.0704873632652992,0.0704182391710611,520.0,-0.0794305766177931,0.999939485521782,0.7588999938839631,-0.8708602019062699,,,223.92754324081915,214.32435601072768,378.10078077263455,223.92754324081915,-0.043496088067256376,0.9653060828468566,False
LHS-1140,LHS 1140 b,jw07073025001,nrs1,2496,0.043,90.0,0,0,0,0,0.157955990788931,61021.57831058529,4952.070955957409,0.0703709525014221,90.77892373614516,0.1984270089917927,0.0451750715287655,0.1977166971760161,quad_exp,2.0974566775839776,592.1979357760484,1.1222405563038722,4081.519490918105,2969.131555053043,2868.11447026632,5780.744999925536,2.6886901864481376,14.3955794560148,203.834689678492,3.326005674944286,677.9553346211717,0.0212338169210789,0.9830591383564335,7.702301983303187,0.0703266034064648,0.0704288770757152,521.0,0.5046808428344551,0.97967899739944,1.0,-0.4989014730548753,,,144.90294180948038,171.94834914126952,252.76091873261004,144.90294180948038,0.09934635747383397,0.9208632725008996,False
LHS-1140,LHS 1140 b,jw07073026001,nrs1,2496,0.043,90.0,0,0,0,0,0.0339763106314479,61219.47628211464,4990.594451868106,0.0706441395436883,91.26974495967414,0.1792756768622374,0.0316509116458056,0.0057197769674511,quad_exp,2.0935345608741045,603.1094685840989,1.0909878017722303,4092.214512714033,2967.6723626716744,2790.420122500658,5801.392753504553,3.1463217863925177,66.42051862998724,193.2126071189376,2.919089140244773,564.0048231992706,0.1177658698966834,0.9062531731928556,5.337359056711193,0.0704519924806865,0.0709218144376517,520.0,1.6724834292083854,0.9954185436812416,0.1477851088611091,-0.2072384257976693,,,169.27013768508007,179.22590875840112,344.869895121944,169.27013768508007,0.39239359959380316,0.6947674144232041,False
LHS-1140,LHS 1140 c,jw07073032001,nrs1,2054,0.05,90.0,0,0,0,0,0.7048936297030299,61256.2476160553,2512.4746431708595,0.0501245912020323,26.04812731716788,0.0845433839867568,0.1380429347245805,0.012682653343833,quad_exp,1.1034729721723124,567.6218693459806,1.109936363538197,2569.622501473108,2377.8851635690253,2370.3499721530206,2954.9763724510126,3.07639888935504,-30.904473176600767,132.20545248822822,2.080042331740108,274.9929376623703,-0.1123827885883547,0.9105199015865922,7.196713455854479,0.0502702365154407,0.0499619075510708,274.0,-0.3776599149529887,0.9962064099610832,0.3648657419632333,-1.5607915986540917,,,72.13607655587118,100.9984362158239,149.56831911100886,72.13607655587118,-0.42841910250919296,0.6683460195094175,False
LHS-1140,LHS 1140 c,jw07073033001,nrs1,2054,0.05,90.0,0,0,0,0,0.2098897388407897,60991.792044625145,2584.3529859556947,0.0508365320016589,26.23127452087485,0.0866407223346979,0.0593366203082719,0.307287188186739,quad,1.0963330009253696,585.6624426445347,1.0808874174153351,2457.9083745352864,2272.516011155684,2283.153719228814,3014.856687848177,2.983926552703391,54.742844622301774,103.13708430375374,1.833785834035992,189.13132415999945,0.2894435644937956,0.7722419613055971,6.475439161523809,0.050580746840707,0.05111902576914,271.0,1.0796515665357251,0.9997937255740714,0.0887796125701743,0.098903389986539,,,67.76543566883637,86.69814644299296,166.21698629753763,67.76543566883637,0.8078284169797884,0.4191893639241506,False
TOI-1685,TOI-1685 b,jw03263001001,nrs1,4450,0.0,90.0,0,0,1,0,0.735082019102355,60355.41443475871,839.0462977843088,0.0289662958934053,5.493256741648866,0.3148356380004486,0.076894209740929,9.19395836698818e-16,quad_exp,0.9180278987623752,427.2484870217319,1.0616336026114486,4858.358068809175,4803.073578643362,4797.659789346434,935.2983099142342,4.539769374911493,-180.03568339752644,64.84351520151006,1.3323999796147172,86.3974983326386,-2.0838066711650827,0.0371777562810568,-1.091973929932465,0.0303646723817234,0.0272392666100222,107.0,-2.840828526559884,0.1601852549868508,0.0065177646312789,-1.8023241176531428,-173.9720214359634,59.642963686004144,58.716932261467946,69.14711313615085,276.6250369676412,58.716932261467946,-3.066162969751606,0.002168250986066522,False
TOI-1685,TOI-1685 b,jw03263001001,nrs2,4450,0.0,90.0,0,0,0,0,2.0400902648158072,60355.41459271646,796.6109049920645,0.0282242963595563,5.529118327625841,0.3125549061057105,0.0376463178375874,0.9582628697426704,quad,0.911922245635651,639.4057982296224,1.0371553648758025,4686.9588670508265,4674.2494057795975,4690.241902895379,914.1415170402788,3.5862465074753325,70.4311089016218,108.47758751620567,1.1628724461195692,126.14559754411977,0.558331882149025,0.5766177779114757,7.90926995512018,0.0276326539168166,0.0288789658988715,106.0,0.9231529288443208,0.6159854807434649,0.3821258105292203,0.0221350127443855,,,99.48597908894187,101.11337180066324,234.0855445029312,99.48597908894187,0.7079501005730203,0.47897624559745056,False
