target,visit,planet,pred_bmjd,obs_bmjd,o_minus_c_min,white_depth_ppm
K2-18,jw02372004001,K2-18 b,60656.67260899992,60656.70910900025,52.5600004743319,3102.8070428884557
K2-18,jw02372005001,K2-18 b,60821.37072399992,60821.40672400025,51.84000047156587,3035.0636468093885
K2-18,jw02372007001,K2-18 b,60459.034870999916,60459.071371000246,52.5600004743319,3068.1577268841797
K2-18,jw02722001001,K2-18 b,59964.94052599992,59964.97252600023,46.08000044943765,3068.3611905566454
L-98-59,jw03942001001,L 98-59 b,60339.398424,60339.4019240002,5.040000291774049,965.0749619152243
L-98-59,jw03942002001,L 98-59 b,60343.904652,60343.909152000204,6.4800002973061055,994.7743833798039
L-98-59,jw03942003001,L 98-59 b,60346.157766,60346.15926600019,2.160000280709937,814.6243075239922
L-98-59,jw03942004001,L 98-59 b,60359.67645,60359.6799500002,5.040000291774049,936.7990206696763
LHS-1140,jw07073024001,LHS 1140 b,60873.153000000166,60873.155500000365,3.6000002862419933,5869.35573277092
LHS-1140,jw07073025001,LHS 1140 b,61021.576380000166,61021.581880000376,7.920000302838162,5780.744999925536
LHS-1140,jw07073026001,LHS 1140 b,61219.47422000017,61219.480720000385,9.360000308370218,5801.392753504553
LHS-1140,jw07073032001,LHS 1140 c,61256.25035999993,61256.25036000012,2.7241185307502747e-07,2954.9763724510126
LHS-1140,jw07073033001,LHS 1140 c,60991.79455999993,60991.7905600001,-5.759999749716371,3014.8566878481774
TOI-1685,jw03263001001,TOI-1685 b,60355.415068229835,60355.41456823002,-0.719999730354175,935.2983099142342
TOI-1685,jw04195001001,TOI-1685 b,60369.46699205984,60369.46949206004,3.6000002862419933,885.7474286892985
TOI-1685,jw04195002001,TOI-1685 b,60371.47440974983,60371.477409750034,4.320000289008021,803.2518477371076
TOI-1685,jw04195003001,TOI-1685 b,60365.452156679836,60365.452156680025,2.7241185307502747e-07,938.717879765294
TOI-1685,jw04195104001,TOI-1685 b,60554.14941953983,60554.152419540034,4.320000289008021,934.8219281991587
TOI-776,jw02512003001,TOI-776 c,60075.97028399987,60075.981784000105,16.560000336030498,1146.447331745515
TOI-776,jw02512004001,TOI-776 c,60091.63560699987,60091.646607000104,15.84000033326447,1154.0635392979225
TOI-776,jw02512005001,TOI-776 b,60104.78668000023,60104.796180000456,13.680000324966386,1123.8626559907373
TOI-776,jw02512006001,TOI-776 b,60088.293440000234,60088.30094000045,10.800000313902274,1194.980140068247
