planet,band,n_bins,dd_band_ppm,err_band_ppm,dd_cont_ppm,err_cont_ppm,contrast_ppm,contrast_err_ppm,contrast_z,p,fdr_pass
GJ 1132 b,CH4,4,-73.94993160454888,27.382148807894403,21.854022946568595,10.850966698584774,-95.80395455111747,29.453786711244256,-3.252687183836482,0.0011431927271378828,False
GJ 1132 b,CO2,4,18.21408726978152,29.276485306109638,21.854022946568595,10.850966698584774,-3.6399356767870756,31.222685185176648,-0.1165798410738606,0.9071930132721016,False
GJ 1132 b,CO,2,52.303463520661744,62.7375328678894,21.854022946568595,10.850966698584774,30.44944057409315,63.66899958883678,0.47824594026496864,0.6324751681858359,False
K2-18 b,CH4,6,57.179248932115975,23.019140480529487,22.948879651592133,9.305100630789532,34.230369280523846,24.828727841181692,1.3786598129183365,0.16799966553130274,False
K2-18 b,CO2,6,17.243355693737744,22.65576119726095,22.948879651592133,9.305100630789532,-5.705523957854389,24.492211275759374,-0.2329525861758879,0.815798223644877,False
K2-18 b,CO,3,-22.811839199231226,69.1443597883029,22.948879651592133,9.305100630789532,-45.76071885082336,69.76766721256631,-0.655901518269212,0.5118874912693017,False
LHS 1140 b,CH4,3,-139.30193851623014,44.42252650928024,-41.33430906941395,9.58756319508004,-97.96762944681619,45.44537632683174,-2.155722701958888,0.031105324402559354,False
LHS 1140 b,CO,3,36.51347996151816,75.0781381252879,-41.33430906941395,9.58756319508004,77.8477890309321,75.68783384652689,1.028537680029065,0.30369697580456945,False
LHS 1140 c,CH4,2,-60.007048042360935,69.98395852162206,-42.94840051324833,20.664131796329745,-17.058647529112605,72.97095856059589,-0.23377310461047207,0.81516113048686,False
LHS 1140 c,CO,2,29.48648679008585,132.0462706626208,-42.94840051324833,20.664131796329745,72.43488730333418,133.65337234354467,0.5419607903132173,0.5878455173400087,False
TOI-1685 b,CH4,10,29.016209196440894,17.914385872764473,-19.303148299675325,7.709599953268005,48.31935749611622,19.502901133875785,2.4775471692356255,0.013228892151761368,False
TOI-1685 b,CO2,10,4.228723061052672,17.610666131231238,-19.303148299675325,7.709599953268005,23.531871360727997,19.224294344009746,1.2240694477329663,0.22092603033010572,False
TOI-1685 b,CO,5,-81.37474949344148,41.59296710425705,-19.303148299675325,7.709599953268005,-62.071601193766156,42.30145203152297,-1.4673633696429735,0.14227723354812155,False
TOI-776 b,CH4,4,-66.85909363860237,38.961852248834596,-46.46949971027236,13.04568177432661,-20.389593928330015,41.087902643199186,-0.49624323989934477,0.6197228071144992,False
TOI-776 b,CO2,4,-45.05311608454667,15.509168193624722,-46.46949971027236,13.04568177432661,1.416383625725686,20.266329490441485,0.06988851268769297,0.9442823963196867,False
TOI-776 b,CO,2,-86.39002107640475,32.42820870762408,-46.46949971027236,13.04568177432661,-39.92052136613239,34.95394874606049,-1.1420890285144583,0.25341701544137274,False
TOI-776 c,CH4,4,-104.5634246154651,67.84218766635107,-31.060149273255075,13.15022134669261,-73.50327534221002,69.10492564805642,-1.0636474122923436,0.28748845553814395,False
TOI-776 c,CO2,4,62.44431205341666,40.14255312200378,-31.060149273255075,13.15022134669261,93.50446132667173,42.24160144478314,2.2135633623857216,0.026858829984246803,False
TOI-776 c,CO,2,116.75445946645956,42.88077936306178,-31.060149273255075,13.15022134669261,147.81460873971463,44.85186239444907,3.2956180824724988,0.0009820542227950695,False
