target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
GJ-1132,jw01981021001,nrs1,0,2.8616225868637777,2.9691390621089435,159,814,589.5444977783502
GJ-1132,jw01981021001,nrs1,1,2.9691390621089435,3.0766555373541093,158,814,561.4177191106747
GJ-1132,jw01981021001,nrs1,2,3.0766555373541093,3.184172012599275,159,814,525.4126740413712
GJ-1132,jw01981021001,nrs1,3,3.184172012599275,3.291688487844441,159,814,558.6408182544957
GJ-1132,jw01981021001,nrs1,4,3.291688487844441,3.3992049630896073,159,814,514.7215904779154
GJ-1132,jw01981021001,nrs1,5,3.3992049630896073,3.506721438334773,159,814,508.6834220755962
GJ-1132,jw01981021001,nrs1,6,3.506721438334773,3.614237913579939,160,814,486.0775837329504
GJ-1132,jw01981021001,nrs1,7,3.614237913579939,3.721754388825105,160,814,440.291967064509
GJ-1132,jw01981021001,nrs2,0,3.8207140041647993,3.9904537349497797,254,814,465.5518350900901
GJ-1132,jw01981021001,nrs2,1,3.9904537349497797,4.160193465734761,253,814,555.1895583831619
GJ-1132,jw01981021001,nrs2,2,4.160193465734761,4.329933196519741,255,814,650.8142416466553
GJ-1132,jw01981021001,nrs2,3,4.329933196519741,4.499672927304721,255,814,739.5554004370141
GJ-1132,jw01981021001,nrs2,4,4.499672927304721,4.669412658089702,256,814,839.4402961757345
GJ-1132,jw01981021001,nrs2,5,4.669412658089702,4.839152388874682,257,814,1814.9971798284193
GJ-1132,jw01981021001,nrs2,6,4.839152388874682,5.008892119659663,258,814,68090.69504280781
GJ-1132,jw01981021001,nrs2,7,5.008892119659663,5.178631850444644,260,814,5102.041539463045
GJ-1132,jw01981022001,nrs1,0,2.8618027027535105,2.969235448967721,159,814,610.9000727687651
GJ-1132,jw01981022001,nrs1,1,2.969235448967721,3.0766681951819317,158,814,564.7304073605284
GJ-1132,jw01981022001,nrs1,2,3.0766681951819317,3.1841009413961423,159,814,542.6896701741916
GJ-1132,jw01981022001,nrs1,3,3.1841009413961423,3.291533687610353,158,814,526.7598001664185
GJ-1132,jw01981022001,nrs1,4,3.291533687610353,3.3989664338245635,159,814,539.9485278455353
GJ-1132,jw01981022001,nrs1,5,3.3989664338245635,3.506399180038774,160,814,514.7467422214112
GJ-1132,jw01981022001,nrs1,6,3.506399180038774,3.6138319262529848,159,814,460.76885300944645
GJ-1132,jw01981022001,nrs1,7,3.6138319262529848,3.7212646724671954,160,814,449.8525208469574
GJ-1132,jw01981022001,nrs2,0,3.820225302612134,3.9899673603914283,254,814,454.94335832611773
GJ-1132,jw01981022001,nrs2,1,3.9899673603914283,4.159709418170722,253,814,565.1732026764801
GJ-1132,jw01981022001,nrs2,2,4.159709418170722,4.329451475950016,255,814,643.1329558107357
GJ-1132,jw01981022001,nrs2,3,4.329451475950016,4.4991935337293105,255,814,815.9206924377759
GJ-1132,jw01981022001,nrs2,4,4.4991935337293105,4.668935591508605,256,814,888.0402853122633
GJ-1132,jw01981022001,nrs2,5,4.668935591508605,4.838677649287899,257,814,2298.289038171485
GJ-1132,jw01981022001,nrs2,6,4.838677649287899,5.008419707067192,258,814,126814.1430901071
GJ-1132,jw01981022001,nrs2,7,5.008419707067192,5.178161764846487,260,814,4907.299248438517
K2-18,jw02372004001,nrs1,0,2.8618279245986082,2.96926872211858,159,2089,713.836919068597
K2-18,jw02372004001,nrs1,1,2.96926872211858,3.0767095196385523,158,2089,712.0687477845813
K2-18,jw02372004001,nrs1,2,3.0767095196385523,3.184150317158524,159,2089,716.7167183102852
K2-18,jw02372004001,nrs1,3,3.184150317158524,3.2915911146784964,158,2089,697.7134206366217
K2-18,jw02372004001,nrs1,4,3.2915911146784964,3.3990319121984682,159,2089,662.7109967947747
K2-18,jw02372004001,nrs1,5,3.3990319121984682,3.50647270971844,160,2089,651.2999298041437
K2-18,jw02372004001,nrs1,6,3.50647270971844,3.6139135072384123,159,2089,633.6460148468212
