visit,det,planet,n_bins,dd_mean_ppm,chi2,dof,p_struct,fdr_pass
jw01981021001,nrs1,GJ 1132 b,8,22.079823538173173,14.431962553283217,7,0.04401069905922938,False
jw01981021001,nrs2,GJ 1132 b,6,11.471530835241508,5.49788657811167,5,0.35817768089285057,False
jw01981022001,nrs1,GJ 1132 b,8,-0.9547144285522966,10.283203551134376,7,0.17308455221834124,False
jw01981022001,nrs2,GJ 1132 b,6,-6.24536325161214,5.398113510985962,5,0.3692474763869551,False
jw02372004001,nrs1,K2-18 b,8,73.18393847365918,2.8270430466936167,7,0.9005278621724484,False
jw02372004001,nrs2,K2-18 b,7,35.03509206933954,5.605515968374414,6,0.4687965069299479,False
jw02372005001,nrs1,K2-18 b,8,29.19153233882118,4.609934300142965,7,0.707442083150503,False
jw02372005001,nrs2,K2-18 b,6,23.477463714794414,1.1672327127259066,5,0.9479820485975486,False
jw02372007001,nrs1,K2-18 b,8,-9.286850910271907,3.7166478440246933,7,0.8117741297621051,False
jw02372007001,nrs2,K2-18 b,6,-4.8594304318180495,1.6880412665320772,5,0.8904028985741332,False
jw02512003001,nrs1,TOI-776 c,8,-38.247511985142765,0.8792558014367619,7,0.9965485090005579,False
jw02512003001,nrs2,TOI-776 c,6,53.45333336679566,4.856749574155697,5,0.4336118150582786,False
jw02512004001,nrs1,TOI-776 c,8,-54.78765871033316,3.149159582563355,7,0.8708693450576483,False
jw02512004001,nrs2,TOI-776 c,6,-10.844467597903744,13.567266575461732,5,0.018604910215496585,False
jw02512005001,nrs1,TOI-776 b,8,-56.6884860268181,7.821093881001781,7,0.3486338632410748,False
jw02512005001,nrs2,TOI-776 b,7,-72.49442219248479,1.3612360816963003,6,0.9681739613559781,False
jw02512006001,nrs1,TOI-776 b,8,-23.937018171887864,12.771001285990556,7,0.07788840288745295,False
jw02512006001,nrs2,TOI-776 b,5,-24.705761760487242,7.113021685312303,4,0.13003473419448072,False
jw03263001001,nrs1,TOI-1685 b,8,29.092810494281665,1.5181141740578838,7,0.9816759136204444,False
jw03263001001,nrs2,TOI-1685 b,6,-31.35381400128365,0.7430578932277332,5,0.9805222542591767,False
jw04195001001,nrs1,TOI-1685 b,8,-48.23378994569801,36.254668753486705,7,6.489574526556648e-06,True
jw04195001001,nrs2,TOI-1685 b,7,-56.55742796900077,48.740211405517925,6,8.404005909197025e-09,True
jw04195002001,nrs1,TOI-1685 b,8,11.188070397453794,18.622586621746414,7,0.009455551544930491,False
jw04195002001,nrs2,TOI-1685 b,7,1.1077569234657951,12.39973604350245,6,0.05362270553934301,False
jw04195003001,nrs1,TOI-1685 b,8,9.699369316460645,29.856261382788844,7,0.00010090051290873035,True
jw04195003001,nrs2,TOI-1685 b,6,-27.392491393603624,4.004356881053595,5,0.5487888364032736,False
jw04195104001,nrs1,TOI-1685 b,8,32.877361526993795,5.032905548863843,7,0.6559474586823231,False
jw04195104001,nrs2,TOI-1685 b,6,-53.77782836055292,9.567481500071793,5,0.0884601418437905,False
jw07073024001,nrs1,LHS 1140 b,8,-74.2751792436138,3.3273459904090195,7,0.853160177743425,False
jw07073025001,nrs1,LHS 1140 b,8,-27.259567425848687,4.903708547830835,7,0.6717129515610438,False
jw07073026001,nrs1,LHS 1140 b,8,-59.604516487635856,9.241340553062578,7,0.23579013904612495,False
jw07073032001,nrs1,LHS 1140 c,8,-42.29715998076453,1.9075428449410716,7,0.9647798386767399,False
jw07073033001,nrs1,LHS 1140 c,8,-43.19346533235038,1.4907743688835957,7,0.9826273327451237,False
