planet,visit,det,bin,band,dd_pinned_ppm,dd_freeLD_ppm,shift_sigma,q1_white,q1_free,q2_white,q2_free
GJ 1132 b,jw01981021001,nrs1,3,CH4,-20.05229479013328,-19.704566143064447,0.00885283026457902,0.0236019840720609,0.0590857801240242,0.6219816123534093,9.921420905674284e-12
GJ 1132 b,jw01981021001,nrs1,4,CH4,-128.98125575159244,-128.9403529463602,0.0007889368036176096,0.0236019840720609,0.02091895708947939,0.6219816123534093,0.9999999999840309
GJ 1132 b,jw01981021001,nrs2,2,CO2,70.97180481885432,70.20340450382629,-0.012160252131496008,0.0283829923970526,0.04898911667020541,1.0,0.9999999999994604
GJ 1132 b,jw01981021001,nrs2,3,CO2,22.372366973355888,22.700440865656113,0.004585240989390823,0.0283829923970526,0.11958214914930498,1.0,2.9151614012602677e-13
GJ 1132 b,jw01981021001,nrs2,4,CO,68.83769018312634,67.23833520952535,-0.019387935597028286,0.0283829923970526,0.1863506175916364,1.0,1.2969715194417925e-12
GJ 1132 b,jw01981022001,nrs1,3,CH4,-76.36427108845267,-76.2283471330001,0.0024417144270864957,0.1071842084002232,0.13614813316732433,4.457839475883538e-36,3.5371307447631336e-14
GJ 1132 b,jw01981022001,nrs1,4,CH4,-44.38257055272695,-43.608303794941996,0.017534466018527747,0.1071842084002232,0.0681523960814982,4.457839475883538e-36,2.6947287821630734e-14
GJ 1132 b,jw01981022001,nrs2,2,CO2,-108.85472674262726,-109.03907248865832,-0.002613427341540854,0.0005441070391407,0.013926761007475854,0.6268654503678411,0.9999999089881711
GJ 1132 b,jw01981022001,nrs2,3,CO2,61.29727129140306,61.658039704419465,0.00783954173447515,0.0005441070391407,0.0032224558938911537,0.6268654503678411,0.9999999999477465
GJ 1132 b,jw01981022001,nrs2,4,CO,39.941555262363366,40.32274479011432,0.0037825051264427957,0.0005441070391407,2.2120411169995343e-13,0.6268654503678411,1.2499999999999965e-07
LHS 1140 b,jw07073024001,nrs1,1,CH4,-217.7992004503961,-220.36374203034723,-0.02607382214010355,0.0381230580147378,0.023269436256347604,0.218313682883488,1.1119891043149993e-14
LHS 1140 b,jw07073024001,nrs1,6,CO,101.01327195140632,102.70947434604192,0.007713527300389505,0.0381230580147378,0.024711251953455558,0.218313682883488,3.239096749551394e-14
LHS 1140 b,jw07073025001,nrs1,1,CH4,-193.25852965813155,-195.45510008597833,-0.027916650592651842,0.0451750715287655,0.029753587405339725,0.1977166971760161,4.7836535804640976e-15
LHS 1140 b,jw07073025001,nrs1,6,CO,95.0545755581296,97.57389316407752,0.00964333839569855,0.0451750715287655,0.026774174656634724,0.1977166971760161,2.459621962654358e-13
LHS 1140 b,jw07073026001,nrs1,1,CH4,-171.0845460214808,-171.8613593635074,-0.0253360706236642,0.0316509116458056,0.018641242690615404,0.0057197769674511,7.56227715816507e-14
LHS 1140 b,jw07073026001,nrs1,6,CO,94.66960315566033,96.5215526659022,0.012493461039348553,0.0316509116458056,0.012208503898699374,0.0057197769674511,2.585321751041191e-12
TOI-776 c,jw02512003001,nrs1,3,CH4,-193.86392201930136,-207.09499515608286,-0.07307400655505943,0.0862934330673769,1.5654242279824901e-10,4.194591533346695e-05,1.7175568565372924e-14
TOI-776 c,jw02512003001,nrs1,4,CH4,-105.93353106395833,-113.80297394907817,-0.09972841236289284,0.0862934330673769,1.3559180900166358e-09,4.194591533346695e-05,1.1474824889492738e-14
TOI-776 c,jw02512003001,nrs2,2,CO2,-22.80601750685176,-21.550754161714586,0.02612463070733226,0.0204519117935723,0.110735749780474,0.1659540495312915,0.9999999623037752
TOI-776 c,jw02512003001,nrs2,3,CO2,108.7637014693505,103.22903001451262,-0.18675237550064794,0.0204519117935723,0.07538292124122214,0.1659540495312915,0.9999999999999989
TOI-776 c,jw02512003001,nrs2,4,CO,131.2027048174408,126.82076854166394,-0.08084640827009108,0.0204519117935723,0.03900693716576158,0.1659540495312915,0.999999999999822
TOI-776 c,jw02512004001,nrs1,3,CH4,-280.0701332347208,-305.16556640191226,-0.25156877143194695,0.1538004864736614,4.614389426200859e-09,0.158226536291981,1.2146865495054527e-15
TOI-776 c,jw02512004001,nrs1,4,CH4,-245.74008845397108,-268.4923912677625,-0.1227009338417149,0.1538004864736614,1.914372640722363e-07,0.158226536291981,8.669824959997661e-15
TOI-776 c,jw02512004001,nrs2,2,CO2,258.1122371957098,216.0604434639019,-0.2897496820343111,2.648160549403273e-07,0.15510034726290786,2.511128039314038e-12,0.9999999999999959
TOI-776 c,jw02512004001,nrs2,3,CO2,192.3609407860565,188.46310343724807,-0.04538848072204267,2.648160549403273e-07,0.01020311573744771,2.511128039314038e-12,0.9999999999762322
TOI-776 c,jw02512004001,nrs2,4,CO,85.64850060933027,81.49044179367698,-0.057915613209165995,2.648160549403273e-07,0.01777768330482029,2.511128039314038e-12,0.9999999999425948
