target,planet,visit,det,bin,band,ramp,dd_lsq_ppm,sigma_cal_ppm,z_cal,dd_map_ppm,dd_mcmc_ppm,dd_mcmc_err_ppm,z_mcmc
GJ-1132,GJ 1132 b,jw01981021001,nrs1,2,cont,linear,74.04228219751131,27.783985975999883,2.664926560986241,74.04228219751131,74.62934328307828,51.51885260067374,1.4485831790846662
GJ-1132,GJ 1132 b,jw01981021001,nrs1,4,CH4,quad,-128.98125575159244,48.97874339001726,-2.633412922102063,-128.98125575159244,-127.85596383407513,50.06975830419268,-2.5535566410626926
GJ-1132,GJ 1132 b,jw01981022001,nrs1,0,cont,quad,91.3906763315574,39.96553999179957,2.2867369326251974,91.3906763315574,88.70193865961733,60.43277648479423,1.4677786429676292
K2-18,K2-18 b,jw02372004001,nrs1,3,CH4,quad_exp,93.20907715565114,43.33468743874861,2.1509114906481663,93.20907715565114,91.01930088557157,37.12864112991993,2.451457907308763
K2-18,K2-18 b,jw02372004001,nrs1,5,cont,quad_exp,93.38655224652236,38.9907427471296,2.395095493619373,93.38655224652237,93.40489342410255,39.40459688307752,2.370406013827684
K2-18,K2-18 b,jw02372004001,nrs2,7,cont,linear,766.8946334722342,338.9461971790268,2.262585153204037,766.8946334722342,801.2688654465094,611.2958288372826,1.3107710336754068
K2-18,K2-18 b,jw02372005001,nrs1,7,cont,linear,159.76239464543474,76.14033856491805,2.098262204458411,159.76239464543474,162.30276227174053,42.57725943639687,3.8119588818109125
LHS-1140,LHS 1140 b,jw07073026001,nrs1,1,CH4,quad_exp,-128.41206791848643,53.29029788113062,-2.409670672228601,-128.41206791848643,-129.77704291002902,28.389364289581216,-4.571326134190919
LHS-1140,LHS 1140 b,jw07073026001,nrs1,2,cont,quad,-75.90950449907953,22.40381424240501,-3.388240220069365,-75.90950449907953,-76.19162991937986,25.755997569233955,-2.95820923707464
TOI-1685,TOI-1685 b,jw04195001001,nrs1,0,cont,linear,-92.28444162971248,45.42456508831543,-2.031597692796641,-92.28444162971249,-92.46807406519468,64.64847112205942,-1.4303211268617708
TOI-1685,TOI-1685 b,jw04195001001,nrs1,6,cont,linear,-127.42722019079316,22.05814542412904,-5.776878234350684,-127.42722019079316,-127.86142033555879,62.47358399337121,-2.046647753538929
TOI-1685,TOI-1685 b,jw04195001001,nrs2,0,cont,linear,-161.0615742068061,33.63714009041179,-4.788206541159438,-161.0615742068061,-163.5473941304088,71.1465489195341,-2.298739666422597
TOI-1685,TOI-1685 b,jw04195001001,nrs2,5,cont,linear,488.88165521081015,162.70547782605058,3.004703109833072,488.88165521081015,512.3609318317249,170.3341293639466,3.0079757576767387
TOI-1685,TOI-1685 b,jw04195001001,nrs2,7,cont,linear,951.6973932357594,215.51250449875897,4.4159729638390415,951.6973932357594,575.6084318567589,560.5707382021593,1.0268256843067263
TOI-1685,TOI-1685 b,jw04195002001,nrs1,0,cont,linear,-118.46549475685389,44.884075703774045,-2.639365808459609,-118.46549475685387,-119.29438386238252,60.18536977259903,-1.9821159911971566
TOI-1685,TOI-1685 b,jw04195002001,nrs2,7,cont,linear,-668.0773105170513,244.7182589208361,-2.729985549354401,-668.0773105170513,-459.5669308469811,576.5687059413774,-0.7970722762287892
TOI-1685,TOI-1685 b,jw04195003001,nrs1,1,cont,linear,-112.48262542861504,35.15428657261994,-3.1996844878718886,-112.48262542861505,-114.4363755564903,57.79102892821352,-1.9801754299727061
TOI-1685,TOI-1685 b,jw04195003001,nrs1,6,cont,quad,199.17082784579927,48.8064375573712,4.080831091424714,199.17082784579932,200.47886981739867,58.71246697541544,3.414587738262554
TOI-1685,TOI-1685 b,jw04195003001,nrs2,4,CO,linear,-139.75750258329367,65.06698373280528,-2.1479019706400058,-139.75750258329367,-147.59977304875585,98.09513669374496,-1.5046594359674057
TOI-1685,TOI-1685 b,jw04195104001,nrs2,0,cont,linear,-140.53421232598177,57.36185733063616,-2.449959238870817,-140.53421232598177,-141.5318472150759,61.01887451690403,-2.319476528133396
TOI-776,TOI-776 c,jw02512003001,nrs2,4,CO,quad,131.2027048174408,51.89256113482168,2.5283528495840475,131.2027048174408,131.17795325509087,40.19005182118352,3.2639408836479555
TOI-776,TOI-776 c,jw02512004001,nrs2,5,cont,quad_exp,402.5445819685792,187.32817322360395,2.1488736853696992,402.5445819685792,388.7049554651085,71.80384672572964,5.413428015212769
TOI-776,TOI-776 b,jw02512005001,nrs1,0,cont,quad,-151.6398849759267,71.23033304850561,-2.12886671290256,-151.6398849759267,-152.77521422790682,28.798870920627273,-5.304902912651382
TOI-776,TOI-776 b,jw02512005001,nrs2,1,cont,linear,-85.6104594444088,42.48423253700523,-2.0151113561917158,-85.6104594444088,-85.27720382255836,23.48164868704887,-3.6316531670790377
TOI-776,TOI-776 b,jw02512005001,nrs2,2,CO2,quad,-68.92865235713153,18.27783563567301,-3.7711605318631314,-68.92865235713153,-68.28632341060036,25.954505917226953,-2.631000706712596
TOI-776,TOI-776 b,jw02512006001,nrs1,3,CH4,quad_exp,-272.45281658046827,115.89044339171008,-2.3509515418762947,-272.45281658046827,-272.1245249821458,26.81949442421923,-10.146519568109564
TOI-776,TOI-776 b,jw02512006001,nrs2,4,CO,linear,-86.91010347541925,37.3009132399148,-2.329972537573661,-86.91010347541925,-88.30162483126821,42.951514551332956,-2.0558442642513954
