planet,visit,det,bin,band,dd_stage2_ppm,ramp_stage2,dd_fullramp_ppm,ramp_full,shift_sigma
GJ 1132 b,jw01981021001,nrs1,3,CH4,-20.05229479013328,linear,-20.05229479013328,linear,0.0
GJ 1132 b,jw01981021001,nrs1,4,CH4,-128.98125575159244,quad,-128.98125575159244,quad,0.0
GJ 1132 b,jw01981021001,nrs2,2,CO2,70.97180481885432,quad,70.97180481885432,quad,0.0
GJ 1132 b,jw01981021001,nrs2,3,CO2,22.372366973355888,quad,22.372366973355888,quad,0.0
GJ 1132 b,jw01981021001,nrs2,4,CO,68.83769018312634,quad,68.83769018312634,quad,0.0
GJ 1132 b,jw01981022001,nrs1,3,CH4,-76.36427108845267,quad,-76.36427108845267,quad,0.0
GJ 1132 b,jw01981022001,nrs1,4,CH4,-44.38257055272695,quad,-44.38257055272695,quad,0.0
GJ 1132 b,jw01981022001,nrs2,2,CO2,-108.85472674262726,linear,-108.85472674262726,linear,0.0
GJ 1132 b,jw01981022001,nrs2,3,CO2,61.29727129140306,quad,61.29727129140306,quad,0.0
GJ 1132 b,jw01981022001,nrs2,4,CO,39.941555262363366,quad,39.941555262363366,quad,0.0
LHS 1140 b,jw07073024001,nrs1,1,CH4,-217.7992004503961,quad,-173.823125512426,quad_exp,0.4471069470335343
LHS 1140 b,jw07073024001,nrs1,6,CO,101.01327195140632,quad,50.28701674083917,quad_exp,-0.23067904847363252
LHS 1140 b,jw07073025001,nrs1,1,CH4,-193.25852965813155,quad,-150.14813526991605,quad_exp,0.547898579435478
LHS 1140 b,jw07073025001,nrs1,6,CO,95.0545755581296,quad,29.037901556889025,quad_exp,-0.25269585924754506
LHS 1140 b,jw07073026001,nrs1,1,CH4,-171.0845460214808,linear,-128.41206791848643,quad_exp,1.3917795439553724
LHS 1140 b,jw07073026001,nrs1,6,CO,94.66960315566033,quad,34.43679783878082,quad_exp,-0.40633732310489157
TOI-776 c,jw02512003001,nrs1,3,CH4,-193.86392201930136,quad,-64.56039301205537,quad_exp,0.7141315620122283
TOI-776 c,jw02512003001,nrs1,4,CH4,-105.93353106395833,quad,-37.962575733385336,quad_exp,0.8613869572298097
TOI-776 c,jw02512003001,nrs2,2,CO2,-22.80601750685176,linear,-22.80601750685176,linear,0.0
TOI-776 c,jw02512003001,nrs2,3,CO2,108.7637014693505,linear,108.7637014693505,linear,0.0
TOI-776 c,jw02512003001,nrs2,4,CO,131.2027048174408,quad,131.2027048174408,quad,0.0
TOI-776 c,jw02512004001,nrs1,3,CH4,-280.0701332347208,quad,-171.32329092889677,quad_exp,1.0901309945008413
TOI-776 c,jw02512004001,nrs1,4,CH4,-245.74008845397108,quad,-163.81059615095154,quad_exp,0.441837703068215
TOI-776 c,jw02512004001,nrs2,2,CO2,258.1122371957098,quad,155.88886240195603,quad_exp,-0.7043502241988899
TOI-776 c,jw02512004001,nrs2,3,CO2,192.3609407860565,quad,160.90985066226457,quad_exp,-0.36623313648717304
TOI-776 c,jw02512004001,nrs2,4,CO,85.64850060933027,quad,85.64850060933027,quad,0.0
